fl16y,assoc,class_5FGL,class_Firmamiento,class_Paliya,class_Foschini
FL16Y J0403.8-2444,TXS 0401-248,bll,fsrq,None,fsrq
FL16Y J0407.4+0741,TXS 0404+075,bll,bll,None,clagn
FL16Y J0431.2-0400,PMN J0431-0406,bcu,fsrq,None,None
FL16Y J0431.8+1732,TXS 0429+174,bcu,bcu,None,bll
FL16Y J0433.1+0521,3C 120,rdg,bcu,None,mis
FL16Y J0442.6-0017,PKS 0440-00,fsrq,fsrq,None,nls1
FL16Y J0449.0+1121,PKS 0446+11,fsrq,fsrq,None,clagn
FL16Y J0457.0-2324,PKS 0454-234,fsrq,fsrq,None,bll
FL16Y J0509.3+1012,PKS 0506+101,fsrq,fsrq,None,clagn
FL16Y J0510.0+1800,PKS 0507+17,fsrq,fsrq,None,clagn
FL16Y J0515.5-0124,NVSS J051536-012427,bll,bll,rdg,bcu
FL16Y J0515.7-4556,PKS 0514-459,fsrq,fsrq,None,amb
FL16Y J0519.5-4546,Pictor A,rdg,bcu,rdg,mis
FL16Y J0521.2+1637,3C 138,css,bcu,None,mis
FL16Y J0522.9-3627,PKS 0521-36,agn,bcu,rdg,clagn
FL16Y J0525.6-2009,PMN J0525-2010,bll,bcu,rdg,bll
FL16Y J0550.6-3216,PKS 0548-322,bll,bcu,rdg,bll
FL16Y J0604.7+4412,S4 0600+44,bcu,bcu,None,fsrq
FL16Y J0606.5-4730,RX J060635.9-473001,bll,bll,None,sey
FL16Y J0620.5-2514,PKS 0618-252,bcu,bcu,None,fsrq
FL16Y J0621.1-4651,IVS B0619-468,bcu,bcu,None,fsrq
FL16Y J0627.1-3529,PKS 0625-35,rdg,bcu,rdg,mis
FL16Y J0653.9-4152,LEDA 571171,bll,bcu,None,mis
FL16Y J0656.2+4236,4C +42.22,bll,bcu,rdg,bll
FL16Y J0658.2-5840,PMN J0658-5840,bcu,bcu,None,fsrq
FL16Y J0709.1+4838,NGC 2329,rdg,bcu,rdg,mis
FL16Y J0710.9+4733,S4 0707+47,bll,bll,None,fsrq
FL16Y J0717.3-6236,PMN J0719-6218,bcu,bcu,None,fsrq
FL16Y J0719.3+3307,B2 0716+33,fsrq,fsrq,None,clagn
FL16Y J0733.1+4916,TXS 0729+493,bll,bcu,rdg,bcu
FL16Y J0733.5+3650,GB6 J0733+3650,bcu,bcu,None,bll
FL16Y J0733.8+4110,GB6 J0733+4111,bll,bll,None,amb
FL16Y J0746.6+2732,OI 272,fsrq,bcu,None,bll
FL16Y J0749.3+4453,SDSS J074916.88+445232.1,bcu,bcu,None,fsrq
FL16Y J0751.6+2656,MG2 J075139+2657,bcu,bcu,None,bll
FL16Y J0758.6+3745,NGC 2484,rdg,bcu,rdg,mis
FL16Y J0803.2-0336,TXS 0800-034,fsrq,bll,None,bcu
FL16Y J0814.4+2940,RX J0814.4+2941,bll,bll,None,fsrq
FL16Y J0815.7+2949,2MASX J08153642+2950218,bcu,bcu,None,bll
FL16Y J0817.0+1957,CRATES J081705+195836,bcu,bcu,None,amb
FL16Y J0821.2+1008,SDSS J082054.81+100609.4,bcu,bcu,None,fsrq
FL16Y J0829.1+1753,TXS 0826+180,bll,bcu,rdg,mis
FL16Y J0829.5+0857,TXS 0826+091,fsrq,bcu,None,mis
FL16Y J0834.0+4224,OJ 451,fsrq,fsrq,None,clagn
FL16Y J0840.9+1315,3C 207,ssrq,bcu,rdg,mis
FL16Y J0850.0+5108,SBS 0846+513,nlsy1,bcu,None,nls1
FL16Y J0858.5+1407,3C 212,ssrq,bcu,rdg,mis
FL16Y J0902.8+6442,GB6 J0902+6444,bcu,bcu,None,bll
FL16Y J0903.5+4056,WISEA J090314.70+405559.9,bll,bcu,rdg,None
FL16Y J0912.9-2103,MRC 0910-208,bll,bll,rdg,bll
FL16Y J0922.3-0528,TXS 0919-052,fsrq,fsrq,None,amb
FL16Y J0922.7+4454,NVSS J092235+445749,bcu,bcu,None,sey
FL16Y J0929.4-2416,NVSS J092928-241632,bll,bcu,rdg,bll
FL16Y J0931.9+6736,NGC 2892,rdg,bcu,None,bll
FL16Y J0932.5+5306,S4 0929+53,fsrq,fsrq,None,nls1
FL16Y J0937.1+5008,GB6 J0937+5008,fsrq,fsrq,None,sey
FL16Y J0939.2-1732,TXS 0936-173,bcu,bcu,None,fsrq
FL16Y J0941.7+4124,GB6 J0941+4121,bcu,bcu,None,fsrq
FL16Y J0944.5+6136,FIRST J094420.3+613550,bcu,bcu,None,fsrq
FL16Y J0945.7+4635,B3 0942+468,fsrq,fsrq,None,mis
FL16Y J0948.8+0021,PMN J0948+0022,nlsy1,fsrq,None,nls1
FL16Y J0949.7+5820,87GB 094609.3+583301,bcu,bcu,None,fsrq
FL16Y J0957.8+3422,B2 0954+34,bcu,bcu,None,bll
FL16Y J0958.2+3222,3C 232,fsrq,bcu,None,nls1
FL16Y J0958.2-2654,NGC 3078,rdg,bcu,rdg,amb
FL16Y J0959.4+4602,2MASX J09591976+4603515,bll,bcu,None,sey
FL16Y J1001.2+2911,GB6 J1001+2911,bll,bll,None,fsrq
FL16Y J1008.2+0029,PKS 1005+007,bll,bcu,rdg,mis
